epoch,train_loss,train_bce_loss,train_dice_loss,train_dice,train_iou,train_precision,train_recall,train_hd95,train_asd,val_loss,val_bce_loss,val_dice_loss,val_dice,val_iou,val_precision,val_recall,val_hd95,val_asd
1,0.8375910711970731,0.18795529152185245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.814302810113948,0.0715139838837305,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.8077551026033484,0.03877545604941292,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8037141802350326,0.01857085386586992,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.8022123979271311,0.011061933041151927,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8011627154853171,0.005813517410123515,1.0,0.0,0.0,0.0,0.0,0.0,0.0
